IP:Port,Loss,Latency
188.114.99.226:880,0%,40.93
188.114.99.150:1843,0%,40.93
188.114.96.139:854,0%,40.94
188.114.96.0:7281,0%,40.95
188.114.98.54:5279,0%,40.97
188.114.99.139:1074,0%,41.04
188.114.98.45:7103,0%,41.04
188.114.99.101:1002,0%,41.06
188.114.99.124:942,0%,41.06
188.114.96.138:2371,0%,41.08
188.114.98.46:1014,0%,41.08
188.114.96.44:903,0%,41.09
188.114.98.86:7559,0%,41.10
188.114.97.159:968,0%,41.12
188.114.96.30:1070,0%,41.14
188.114.97.129:903,0%,41.16
188.114.98.54:4233,0%,41.26
188.114.96.231:5279,0%,41.28
188.114.96.208:1701,0%,41.30
188.114.97.146:3138,0%,41.31
188.114.97.222:928,0%,41.37
188.114.96.230:3854,0%,41.38
188.114.99.60:8854,0%,41.38
188.114.97.167:854,0%,41.70
188.114.96.80:945,0%,41.78
188.114.96.194:908,0%,42.40
188.114.99.193:928,0%,42.45
188.114.97.149:1387,0%,42.48
188.114.96.189:942,0%,42.51
188.114.98.6:968,0%,42.87
188.114.99.164:500,0%,43.01
188.114.97.166:894,0%,43.04
188.114.98.86:4233,0%,43.20
188.114.96.76:1074,0%,46.69
188.114.98.104:939,0%,46.84
188.114.99.164:8742,0%,47.54
188.114.98.79:1014,0%,48.18
188.114.99.15:8886,0%,48.20
188.114.96.118:946,0%,48.37
188.114.99.199:7156,0%,48.60
188.114.98.249:908,0%,48.77
188.114.98.45:943,0%,49.42
188.114.99.189:2371,0%,49.59
